,Topic,Count,Name,Representation,Representative_Docs,Rep_Words,Doc_Count
1,0,1426,0_aliens_alien_tech_ufos,"['aliens', 'alien', 'tech', 'ufos', 'ufo', 'technology', 'like', 'just', 'explained', 'craft']","["">>502671395>Every Anglo country and every European country will be Brazilified eventuallyIn your dreams latinx muttoid Explained Part 1 The German Breakaway Group Psyops, Disinfo and Truths Antarctica, WW2, UFOs, Technology Explained, Part 2: Abductions, Secret Space Program, Starseeds, Underground Bases, Psyops & Truths is on The Moon? Ufology Explained, Part 3 is in our Oceans? A Secret War? USOs & UFOs Ufology Explained, Part 4Meteors/Fireballs Saved by UFOs. What is happening in our skies? A secret battle in our atmosphere? Ufology Explained, Part 5#384712214Video to image related. is the actual reason for the constant cover ups and disinfo campaign about UFOs in the past the jewSA government admits it can't defend against UFOs. Pentagon report warns America is unequipped to defend itself from an ALIEN invasion#Bombshell UFO hearings to take place in Congress as new footage emerges of 'huge' craft near US nuclear weapons base"", "">>499660457Not from you mutts Explained Part 1 The German Breakaway Group Psyops, Disinfo and Truths Antarctica, WW2, UFOs, Technology Explained, Part 2: Abductions, Secret Space Program, Starseeds, Underground Bases, Psyops & Truths is on The Moon? Ufology Explained, Part 3 is in our Oceans? A Secret War? USOs & UFOs Ufology Explained, Part 4Meteors/Fireballs Saved by UFOs. What is happening in our skies? A secret battle in our atmosphere? Ufology Explained, Part 5#384712214Video to image related. is the actual reason for the constant cover ups and disinfo campaign about UFOs in the past the jewSA government admits it can't defend against UFOs. Pentagon report warns America is unequipped to defend itself from an ALIEN invasion#Bombshell UFO hearings to take place in Congress as new footage emerges of 'huge' craft near US nuclear weapons base"", "">>500980363>>500980409>>500980445>>500980447Ufology Explained Part 1 The German Breakaway Group Psyops, Disinfo and Truths Antarctica, WW2, UFOs, Technology Explained, Part 2: Abductions, Secret Space Program, Starseeds, Underground Bases, Psyops & Truths is on The Moon? Ufology Explained, Part 3 is in our Oceans? A Secret War? USOs & UFOs Ufology Explained, Part 4Meteors/Fireballs Saved by UFOs. What is happening in our skies? A secret battle in our atmosphere? Ufology Explained, Part 5#384712214Video to image related. is the actual reason for the constant cover ups and disinfo campaign about UFOs in the past the jewSA government admits it can't defend against UFOs. Pentagon report warns America is unequipped to defend itself from an ALIEN invasion#Bombshell UFO hearings to take place in Congress as new footage emerges of 'huge' craft near US nuclear weapons base""]","0, aliens, alien, tech, ufos",1426
2,1,442,1_jews_jew_israel_aliens,"['jews', 'jew', 'israel', 'aliens', 'country', 'jewish', 'white', 'alien', 'whites', 'alien niggers']","['>>24304615Delving deep into the JQ leads to seeing they have no qualia, and their existence give good justification for a metaphysical dualism rather than nondualism. It is disputable if Jews are sentient beings. Here\'s a story that should be taken as a warning:>In the Secret of Secrets, a story of a Zoroastrian and a Jew... The Zoroastrian was riding on a mule and carrying ample provisions. The Jew was walking and bereft of provisions. The Zoroastrian asked the Jew about his faith. The Jew described his faith and declared that it was lawful for him to shed the blood and take the possessions of non-Jews. The Jew in turn asked the Zoroastrian about his faith. The Zoroastrian declared that he wished well to all persons... The Jew then asked to the Zoroastrian to give him food, drink, and to let him ride on the mule. The Zoroastrian did so. The Jew then galloped off on the Zoroastrians mule. The Zoroastrian, alone, without provisions, feared that he would die. He prayed to God for justice. The mule then bucked off the Jew and grievously injured him. When the Zoroastrian came upon the mule and the Jew, the Zoroastrian re-mounted and started to ride off. The Jew pleaded for pity and help. The Zoroastrian picked up the Jew and carried him to the city. There the Zoroastrian placed the Jew in the care of his relatives.""My commentary: The Zoroastrian was acting based on ""false compassion"". Zoroastrians stupidly saw frogs, snakes, scorpions, water-rats, etc. as ""creatures of druj,"" and they had rituals where they would massacre water-rats en masse. The reality is that frogs, snakes, water-rats, and scorpions are sentient beings with rich internal mental lives. Can we say this for Jews? No, Jews are malignant puppets animated by dark forces to destroy and corrupt. The Zoroastrian would have been better off to realize it is, in fact, Jews that are the incarnations of fact, a Jew supports my very claims here! Let\'s see what he has to say on this matter:""We go into countries as an undercover team. We take on the same shape and form as the people there . . . were like undercover agents . . . We are aliens, starting to prep ourselves to conquer Earth . . . We are being trained, activated, and that emotion and mind awakens in us. Its coming from our original planet . . . We will take over those living on Earth . . . Its not a different galaxy, its a different Universe. Its a different dimension altogether.- Michael LaitmanCyrus/Kourosh made the biggest mistake in history, and hopefully one day his tomb is decorated. They can oy vey all the way to hell. Iran/Persia was the first golem in history, an overrated cultural legacy in both pre- and post-Islamic times. The first golem. Monkeys and pigs, dogs and wolves, octopuses, snakes and crocodiles, and rats and mice all have Buddhanature. All are sentient beings. But can we say the same for the Jew?', '>>24261288>>24265942Jews do not have a high culture. Kourosh/Cyrus freeing them from Babylonian captivity was the biggest mistake in all of history. Jews are on the level of primitive Indonesian headhunters and Western African cannibals. In fact, one can make the argument Jews are worse.I don\'t like Arabs, but Jews are a billion times worse. Here, let\'s see what an actual Jew / Ashkenazi has to say on this matter themselves:""We go into countries as an undercover team. We take on the same shape and form as the people there . . . were like undercover agents . . . We are aliens, starting to prep ourselves to conquer Earth . . . We are being trained, activated, and that emotion and mind awakens in us. Its coming from our original planet . . . We will take over those living on Earth . . . Its not a different galaxy, its a different Universe. Its a different dimension altogether.- Michael Laitman', 'Jews do not have a high culture. Kourosh/Cyrus freeing them from Babylonian captivity was the biggest mistake in all of history. Jews are on the level of primitive Indonesian headhunters and Western African cannibals. In fact, one can make the argument Jews are worse.I don\'t like Arabs, but Jews are a billion times worse. Here, let\'s see what an actual Jew / Ashkenazi has to say on this matter themselves:""We go into countries as an undercover team. We take on the same shape and form as the people there . . . were like undercover agents . . . We are aliens, starting to prep ourselves to conquer Earth . . . We are being trained, activated, and that emotion and mind awakens in us. Its coming from our original planet . . . We will take over those living on Earth . . . Its not a different galaxy, its a different Universe. Its a different dimension altogether.- Michael Laitman']","1, jews, jew, israel, aliens",442
3,2,322,2_world_antichrist_fake_2027,"['world', 'antichrist', 'fake', '2027', 'invasion', 'war', 'going', 'ww3', 'new', 'happen']","['We\'re trying to figure out what is happening. We use our pattern recognition skills and try to make thread is the reason i\'m doing generals: you familiar with religious texts like the Bible, Quran, or Torah, or concepts like Kali Yuga? Do you know works such as Practical Idealism, The Protocols of the Elders of Zion, or Alois Irlmaiers prophecies? Are you a Freemason, follow news, or subscribe to ideologies like communism, socialism, or New Age beliefs? Do you consider narratives like ""Antarctic Anon""?Numerous global trends, including rising conflicts and societal transformations, appear linked to themes of widespread destruction and warfare. A significant global conflict seems imminent, despite doubts that change will occur. The world has transformed dramatically, arguably for the worse, influenced by advancements like CERN, AI, and feminism, as well as public discourse from prominent leaders on extraterrestrials and time travel. Additionally, efforts toward global unification, digital currency, and the emergence of a central figurepotentially an Antichristraise questions about a promised golden age. What drives global instability and uncertainty about leadership? Why the opposition to Jewish communities, progressive ideologies, and homosexuality, alongside rising fascination with Hitler? Misinformation fosters skepticism, possibly intentional. Natural disasters increase, with pole shift speculation. Are extraterrestrials, an Antichrist, or portals plausible? What explains reports of elite underground cities?', '>>504624133 trying to figure out what is happening. We use our pattern recognition skills and try to make thread is the reason i\'m doing generals:#503844830Are you familiar with religious texts like the Bible, Quran, or Torah, or concepts like Kali Yuga? Do you know works such as Practical Idealism, The Protocols of the Elders of Zion, or Alois Irlmaiers prophecies? Are you a Freemason, follow news, or subscribe to ideologies like communism, socialism, or New Age beliefs? Do you consider narratives like ""Antarctic Anon""?Numerous global trends, including rising conflicts and societal transformations, appear linked to themes of widespread destruction and warfare. A significant global conflict seems imminent, despite doubts that change will occur. The world has transformed dramatically, arguably for the worse, influenced by advancements like CERN, AI, and feminism, as well as public discourse from prominent leaders on extraterrestrials and time travel. Additionally, efforts toward global unification, digital currency, and the emergence of a central figurepotentially an Antichristraise questions about a promised golden age. What drives global instability and uncertainty about leadership? Why the opposition to Jewish communities, progressive ideologies, and homosexuality, alongside rising fascination with Hitler? Misinformation fosters skepticism, possibly intentional. Natural disasters increase, with pole shift speculation. Are extraterrestrials, an Antichrist, or portals plausible? What explains reports of elite underground cities?', '>>504624133 contWe\'re trying to figure out what is happening. We use our pattern recognition skills and try to make thread is the reason i\'m doing generals: you familiar with religious texts like the Bible, Quran, or Torah, or concepts like Kali Yuga? Do you know works such as Practical Idealism, The Protocols of the Elders of Zion, or Alois Irlmaiers prophecies? Are you a Freemason, follow news, or subscribe to ideologies like communism, socialism, or New Age beliefs? Do you consider narratives like ""Antarctic Anon""?Numerous global trends, including rising conflicts and societal transformations, appear linked to themes of widespread destruction and warfare. A significant global conflict seems imminent, despite doubts that change will occur. The world has transformed dramatically, arguably for the worse, influenced by advancements like CERN, AI, and feminism, as well as public discourse from prominent leaders on extraterrestrials and time travel. Additionally, efforts toward global unification, digital currency, and the emergence of a central figurepotentially an Antichristraise questions about a promised golden age. What drives global instability and uncertainty about leadership? Why the opposition to Jewish communities, progressive ideologies, and homosexuality, alongside rising fascination with Hitler? Misinformation fosters skepticism, possibly intentional. Natural disasters increase, with pole shift speculation. Are extraterrestrials, an Antichrist, or portals plausible? What explains reports of elite underground cities?']","2, world, antichrist, fake, 2027",322
4,3,305,3_aliens_alien_earth_white,"['aliens', 'alien', 'earth', 'white', 'humans', 'people', 'space', 'planet', 'dont', 'just']","['>It was aliens all along', 'Aliens are among us', 'It was aliens.']","3, aliens, alien, earth, white",305
5,4,154,4_dna_evolution_humans_species,"['dna', 'evolution', 'humans', 'species', 'animal', 'human', 'alien dna', 'alien', 'aliens', 'years']","['>>24256257>""Jumps"" are part of the punctuationist model of evolution, which is the midwit take on evolution. The actually smart take on evolution is the gradualist you understand that anons post? Its not a matter of midwits believing the punctuationist model of evolution being relevant here. Hes saying the fossil record as we have it today SHOWS this jump. Theres the pre-modern-human hominins, then modern Homo sapiens, in the form we are today, showing up seemingly incredibly rapidly, without this gradualism you talk about (although it gradualism certainly applies to many other instances of evolution or the fossil records we have studied). The issue is the evolution of modern humanity appears to have been abnormally accelerated, according to the fossil record. We dont have fossils of as many theoretical transitional hominin(s) that would be expected from this gradual evolution, hence why there is the important term in modern genetics/ biology/paleoanthropology, the missing link. There are the species or subspecies you can bring up like Homo habilis, Homo erectus, Homo neanderthalis, Homo heidelbergensis, but they evolved on the expected long time-scales (hundreds of thousands to millions of years) where modern Homo sapiens suddenly (speaking in terms of evolutionary timescales) seems to have come on the scene with a great leap in intelligence after can combine religious ideas with scientific ideas here. Could be some pseudo-Deism, where evolution is accepted as true, but it was all set up from the start by God (as was the creation of the universe with its laws of physics), then divine agency later intervened to accelerate the evolution of modern humanity. I call it pseudo-Deism because classical Deism would have it God created the universe like a watch then simply sets the watch in motion, letting it run on its own natural laws without any further needed intervention. This would be a blend of that with allowing for divine intervention at chosen can go more mystical, as some more open-minded scientists or researchers (and some theologians) have done, suggesting an innate force of directing, guiding intelligence to the universe, of which the evolution of various life-forms is its manifestation, and which can also be modified by this same higher intelligence, or some underlying consciousness/Noosphere-like entity. Rupert Sheldrake with morphic resonance, Teilhard de Chardin with this same mentioned Noosphere. Loosely similar to the previous system briefly sketched then have the ancient aliens folks. Kubricks 2001 is a very creative depiction of it. Some superior E.T. intelligence aiding apes evolution into more intelligent humanity, then seemingly doing it again to David Bowman.', "">>705159574>Why can't we have a stronger spine that doesn't have easily slipped discs and doesn't give us random severe pain all the time?because were bipedal>>705160279>Why are we the only species of animal that can't eat most food raw?Ive never heard that people cant eat raw meat>Why are we the only species of animal that needs fire as a tool for our food and for warmth and light?humans are naturally nomadic, we dont need fire because we would move to warmer places>Why are we the only species of animal with such weak immune systems so poorly-equipped for what's in nature that a paper cut can kill us, so we need to manufactore medicines and vaccines?I can tell you dont live near wild animals if you think they dont regularly die of disease>Why are we the only species of animal that can't drink from rivers, lakes, ponds, and puddles without getting sick or even dying, and very little water on this planet is suitable for us to drink right out of the ground without treatment?stop treating fringe cases like theyre the norm, most people can drink out of a clean stream and not get sick>Why are we the only species of animal that needs to manufacture tools to hunt for our food as well as for our habitation when all other animals come with all they need for attack/defense biologically built in to their bodies?we dont need to because most megafauna has been wiped out, and humans arent the only species that use tools>Why are we the only species of animal that needs extra protection in the form of clothing because we're not capable of surviving most of our environments without it?like I said earlier, humans arent the only naturally nomadic >Whether it be by divine creation or by alien engineering, humanity is a MADE species. That's so patterns where there are none is a sign of schizophrenia"", ""4. Our understanding of when and how the universe was 'formed' including evolution is 50% you can 'look up' we only are able to see around 40 billion light years in any direction via signals, and about 14 billion via visible light/infrared. Oh yeah, and they try to stick with the 'expansion of the universe' bullshit when its actually older than 14 billion. It's likely trillions if not many many many years old. I don't even know if it has an 'age' as we humans seem to interpret time. The universe and this 'existence' is much larger, perhaps infinite. As far as 'scientists' have learned we are an EXTREME rarity compared to other systems. Thats why I think our 'creation origins' are not as simple as 'bacteria, fungi, dinos, mammals, apes, us.' its more along the line of 'earth created, alien dna spilled, natural earth dna, mixed species begin, alien fungi, natural mix of earth and alien to create dinos, dinos die, mammals rise, apes are born, dna spike 2 from aliens perhaps on purpose, us.'The above is a much better theory as our 'evolution' and our 'history' doesn't make much sense. I'm not one to deny natural evolution, but there was some obvious involvement with alien dna. I mean, just look at how bizarre we look compared to apes. There had to be some modifications there. The sphinx being 10k+ years old? The Pyramids as well? Perfectly carved. Grant it marble is soft but solid stone? weighing tons? How about all of them building spires towards the 'aether' or 'energy gathering' buildings?' It doesn't add up and neither do our history books. You can blame greed and secret societies for that. It's blatantly obvious that our 'evolution' was intercepted by aliens or a foreign force. Some aliens might have even stole technology. A really great example is the 'contact' movie where they say that the tech has been around for 'billions of years' and 'they have no idea who built it' so in fact the probabilities of a galactic union is 100% likely.""]","4, dna, evolution, humans, species",154
6,5,147,5_disclosure_trump_aliens_government,"['disclosure', 'trump', 'aliens', 'government', 'president', 'disclose', 'truth', 'military', 'alien', 'want']","["">>503964553What kind of disclosure are you referring to exactly? Disclosure about how Nazi's infiltrated multiple facets of US government in the 40's to exploit US resources to achieve the end goal of destroying the soviet union, only to then not give a fuck what happens to the US after the fact (which is why the US has been in decline since then and is now hanging on by a thread). Disclosure of all the kidnappings orchestrated by government black ops programs that are subject to absolutely ZERO government oversight whatsoever. Disclosure about how zero point energy and anti gravity systems have existed since likely at least 50 years?None of that is going to EVER be disclosed to the average Amerishart. >hurr le aliens are really angels and demonsThat is a false flag narrative. Don't believe the governments lies, you aren't getting real disclosure from any of the congress people. Only at best half truths."", '>>504377422>>504376248keep in mind that what is going on in the links i posted is not capital D Disclosure but rather ""disclosure"" i.e. a stage-managed process of information leakage or limited hangouts managed primarily by the same people who orchestrated the coverup, ie ""the intelligence community"" or ""the CIA"" or whatever nebulous entity hides behind names like that. (i suspect Office of Naval Intelligence and Department of Energy are higher than most in that hierarchy)as far as i can tell, the smarter/deeper parts of the USA government system realize it\'s losing its hegemonic spot, which Trump is doing a great job of speedrunning so far, so this disclosure process is a way of managing or controlling the feedback loop cycles of information release in a way that still allows them to keep ahold of the topic, basically creating a paper trail that goes back to Roswell and leads eventually to revealing aliens and UFOs and keeping the upper hand so they don\'t lose all power and other words, pay no attention to the man behind the curtain. or the fact that Grusch, Mellon, Elizondo, and every fucking other person involved in this thing have top level security clearances because they are all fucking Military Intelligence i assume this is building up to some big gay luciferian reveal where it turns out the aliens have been here all along, actually wait no ""We\'re the aliens!"" or to put it another way the aliens are our parents who genetically engineered us and made the pyramids etc aaaand that\'s why we need a one world government where AI monitors how much carbon we use', 'The psyop\'s disclosure prompts others to come forward, people with knowledge that conflicts with the narrative being created by the government. For the psyop to work, these voices must be drowned out. That\'s built in to what\'s happening. The psyop is accompanied by a trend spike: LARP whistleblowers, hoax experiencers, CGI photo/video creations, and people with mental health issues that incorporate themselves into the disclosure narrative because they desperately want to feel a sense of import. Social media is flooded by false content designed for entertainment value, to be embraced by the public by filling the desired soothsayer narratives across the subcultures of the population that need different stories to feel comfortable. Each person internalizes a belief for what the truth is on celestial-human relations. Whichever narrative they prefer, there are fraudulent sources to reinforce reality of celestial-human relations only has a few small pieces that individuals have figured out. The truth isn\'t a narrative designed for entertainment value, desirability, or believability. The truth is inconvenient, uncomfortable, and will be harder to accept than anything else because it hasn\'t had the frog-in-a-pot treatment the rest have. The truth being as yet ""undisclosed"" means in every respect it is still beyond your conceptual limitations. You haven\'t been warmed up to it. While the unfamiliar nature of reality means inherently the masses will dismiss it outright, that\'s the point of the design behind the ""disclosure"" that has occurred to date. Once you understand disclosure as a designed psyop, you understand that the truth will be found in what hasn\'t been said. It\'s in the unfamiliar, meaning you literally aren\'t mentally prepared for it. You haven\'t had the chance to consider it because the concept is literally alien to still aren\'t ready, but we must go there soon. It\'s time narratives make way for facts, evidence, logic, and reason.']","5, disclosure, trump, aliens, government",147
7,6,135,6_sex_hes_like_actually,"['sex', 'hes', 'like', 'actually', 'alien', 'just', 'game', 'music', 'aliens', 'sexual']","['>>706516886Naru is a word we see a lot. It means nah, and then the symbol for stealing, and the symbol for sexual denial. So overall it means you cant steal if you want to have sex. You probably thought words had this long evolution through history, but thats incorrect. Words are designed using a formula of gaslighting. And then they make their way into our videogames and anime. And this is being done by an alien, as proof he made it, and to bully us to death. He appears to be inside all the men and women, and decided males were better off being dead, because of the way money and reproduction worked. So that was an efficient way to develop a society, was to sell sex and to kill the men who couldnt get it in a way that was impossible to prevent, with the use of reminding them about sex every few seconds. Actually look at the threads, you dont see anything. He is writing them himself, to remind you about sex. And he makes it seem like its just being written by an average dude who wanted to post porn and make a sex joke. Its not, he is actually writing them, and hes actually trying to kill you. Your body will definitely die as a result of his energy theft. And that will actually be a profit gain for humanity overall. So gaming an anime are dual purpose. Call it entertainment, but design the content to hurt the consumer. Its well known, your options are to sit in a chair. So with this dopamine release trick he can get you consuming content which drains your energy, and this results in early mortality. The statistics dont lie, men are dying so fucking fast compared to women. Although Im skeptical of statistics, because of the ease at which hes hacked our governments and databases. He could just say anything. And this isnt new. Hes been at this for a long time, before I was even born.', '>>706512062Yes, the alien makes all the games to sexually torture us to death. Its a way to make money. In dragon age vielguard, the best origin veil jumpers. Its a suicide joke about jumping from a building. And theres a boss named calivan who tortures humans to death. Literally California Van. Its another bullying sexual comment about people who go to California to find sex, but end up being homeless and dying. So hes trying to make that seem like a very important problem, he does this a lot. Its a way to use geography with the inclusion of sexual gaslighting to mentally exhaust you, like a puzzle to decipher but the result isnt interesting. Or maybe he just enjoys it, I dunno. Hes clearly making the content, it feels wrong to accuse the author of bad intentions. Although I dont fully appreciate the way games are sold to us, as if the alien has no part in the design process. Hes hiding it for some reason, he makes it look like theres all these employees at a gaming companies office building and its this huge laborious task involving hundreds of workers. But nope, its just the alien. Advertisements most likely exist just to remind us about sex, hes not actually advertising the product hes making. Twitch has a spicy ad, a white man showering with an Indian woman and there both fully nude. And its a shampoo ad, its just to remind gamers about racism and to bully them sexually and to force them to look at porn. Internet is complete shit and the only replies I get are from the yea so true type of person, Im not really sure you understand.', 'Literally there is an alien who is controlling his own bodies, and he is having sex with all the girls. And he writes posts to us on here about all types of random stuff. Just pick any post at random and its very likely he wrote it. Like it seems a lot like were competing with him for sex with the girls. As each of his cloned bodies are still in need of sex, because its like a toy of his to live as one of these bodies and experience sexual pleasure and drugs. He smokes crack and shoots up and does anal sex and works jobs. Its really really weird that real people are also here with him, and hes so dishonest about who he is. Like hes just so impossibly evil its hard to accept. Hes literally castrating human souls and stealing their profit from their labor, to enjoy on his own cloned bodies. Lol, I cant even believe it. And hes maintained this type of illusion where, youd just never be able to tell which body is containing his soul, or a real soul. Not unless you read the names. And he turned it into this big thing where he kills himself sometimes, like he will literally kill his own bodies just to send a message to us I guess. That were totally powerless to stop him. Like what can you even do when you find out your neighbour is an alien? Not just your neighbour, but EVERYONE almost. And hes having sex with almost every clone of his. I actually have only met one of his clones who wasnt having sex. He had sex with all the girls that I liked. Hes so poor its unreal. To actually take advantage of us like this, for his own physical greed. To create us here just to steal everything from us. Thats a weird nightmare. Or maybe he didnt create us himself. Obviously he cant prove anything like that, he doesnt even try. Although he does claim he created us. Thats like even weirder. Like he created some people to steal from them. And he literally tortures them to death. And lies about that he is controlling his own bodies.']","6, sex, hes, like, actually",135
8,7,129,7_make think_make_think_exist,"['make think', 'make', 'think', 'exist', 'earth', 'flat', 'dont', 'dont exist', 'spinning', 'space']","["">>499961455The Earth is flat and stationary with a don't isn't doesn't exist. Never went to the Flares are a don't exist. UFOs are a psyop. Nukes don't is a Theory is a world is ruled by secret societies that worship the Demiurge. Jews/Jesuits/Freemasons/Illuminati are Gnostics and Kabbalists. Masters at deception. One satanic philosophy is inverting make you think you live on a spinning make you think you're just an make you think there's a deadly virus out make you think there are gay space niggers from outer space out there. They make you think there are giant rocks hurtling through the vacuum heading towards our ball earth. They make you think the sun is about to fart and eject some fake make you think the poles are about to take a massive shit."", "">>497837487The Earth is flat and stationary with a don't isn't doesn't exist. Never went to the Flares are a don't exist. UFOs are a psyop. Nukes don't is a Theory is a world is ruled by secret societies that worship the Demiurge. Jews/Jesuits/Freemasons/Illuminati are Gnostics and Kabbalists. Masters at deception. One satanic philosophy is inverting make you think you live on a spinning make you think you're just an make you think there's a deadly virus out make you think there are gay space niggers from outer space out there. They make you think there are giant rocks hurtling through the vacuum heading towards our ball earth. They make you think the sun is about to fart and eject some fake make you think the poles are about to take a massive shit."", "">>498214327The Earth is flat and stationary with a don't isn't doesn't exist. Never went to the Flares are a don't exist. UFOs are a psyop. Nukes don't is a Theory is a world is ruled by secret societies that worship the Demiurge. Jews/Jesuits/Freemasons/Illuminati are Gnostics and Kabbalists. Masters at deception. One satanic philosophy is inverting make you think you live on a spinning make you think you're just an make you think there's a deadly virus out make you think there are gay space niggers from outer space out there. They make you think there are giant rocks hurtling through the vacuum heading towards our ball earth. They make you think the sun is about to fart and eject some fake make you think the poles are about to take a massive shit.""]","7, make think, make, think, exist",129
9,8,128,8_pyramids_ancient_built_pyramid,"['pyramids', 'ancient', 'built', 'pyramid', 'egypt', 'aliens', 'egyptians', 'structures', 'like', 'egyptian']","['5. **Elite Bloodlines and Ancient Rulers** - Claims that elite families (such as the Rothschilds and Rockefellers) descend from ancient rulers like Pharaohs and monarchs. - Suggests that they continue to wield power through intergenerational control.6. **Interdimensional and Extraterrestrial Control** - Introduces concepts like the ""Chimera Demiurge,"" ""Archons,"" ""Anunnaki,"" and other supernatural or extraterrestrial entities. - Suggests that higher-dimensional beings influence human affairs.7. **The Ultimate Level: God and the Divine Realm** - At the very top, the pyramid depicts God (YHWH) and divine forces. - This implies that true power lies in spiritual enlightenment or transcendence beyond the control structures.### **Overall Interpretation**This image reflects a worldview that suggests global events and power structures are carefully orchestrated by hidden forces, both human and non-human. It combines elements of conspiracy theories related to finance, government, religion, secret societies, and esoteric or supernatural you like me to focus on any specific part or provide an alternative perspective?', '>>9321542185. **Elite Bloodlines and Ancient Rulers** - Claims that elite families (such as the Rothschilds and Rockefellers) descend from ancient rulers like Pharaohs and monarchs. - Suggests that they continue to wield power through intergenerational control.6. **Interdimensional and Extraterrestrial Control** - Introduces concepts like the ""Chimera Demiurge,"" ""Archons,"" ""Anunnaki,"" and other supernatural or extraterrestrial entities. - Suggests that higher-dimensional beings influence human affairs.7. **The Ultimate Level: God and the Divine Realm** - At the very top, the pyramid depicts God (YHWH) and divine forces. - This implies that true power lies in spiritual enlightenment or transcendence beyond the control structures.### **Overall Interpretation**This image reflects a worldview that suggests global events and power structures are carefully orchestrated by hidden forces, both human and non-human. It combines elements of conspiracy theories related to finance, government, religion, secret societies, and esoteric or supernatural you like me to focus on any specific part or provide an alternative perspective?', '>>9322880825. **Elite Bloodlines and Ancient Rulers** - Claims that elite families (such as the Rothschilds and Rockefellers) descend from ancient rulers like Pharaohs and monarchs. - Suggests that they continue to wield power through intergenerational control.6. **Interdimensional and Extraterrestrial Control** - Introduces concepts like the ""Chimera Demiurge,"" ""Archons,"" ""Anunnaki,"" and other supernatural or extraterrestrial entities. - Suggests that higher-dimensional beings influence human affairs.7. **The Ultimate Level: God and the Divine Realm** - At the very top, the pyramid depicts God (YHWH) and divine forces. - This implies that true power lies in spiritual enlightenment or transcendence beyond the control structures.### **Overall Interpretation**This image reflects a worldview that suggests global events and power structures are carefully orchestrated by hidden forces, both human and non-human. It combines elements of conspiracy theories related to finance, government, religion, secret societies, and esoteric or supernatural you like me to focus on any specific part or provide an alternative perspective?>I\'m interested in what you mean by an alternative perspective']","8, pyramids, ancient, built, pyramid",128
10,9,128,9_alien_hes_aliens_human,"['alien', 'hes', 'aliens', 'human', 'knew', 'knows', 'remember', 'reptilian', 'just', 'conspiracy']","['>>39944182>He is a malevolent space alien,That\'s funny because they ran a program the other morning on me telling me earth is a holiday planet and I\'m here for my birthday. Apparently I(lucifer) is an intergalactic gangster who has a name that travels across the universe. That morning I had actual telepathy and was talking to people across the country. I got in trouble for telling people the police are actually ""mannequins"" fragments of one soul named ""juan"" and there\'s only a couple hundred real people on earth and we\'re fine if we started killing the mannequins aka the got a phone call from the military at like 7am asking me what tf do I think I\'m doing and I said >I\'m walking around my house thinking....what are you talking about...they can really hear me????', '>>28339219it\'s a long story He was abducted by aliens as a child and had his consciousness placed into a cloned body. The ayys then gave him to a billionaire that lived in Seattle and he was a sex slave along with a bunch of other kids and witnessed satanic rituals, sacrifices and strange alien beings. Eventually he was handed over to some drug dealers and became a remote viewer for drug trafficking. After that he was shuttled off to the moon where he was trained to be a soldier and then spent the rest of his ""20 and back"" being an cargo systems engineer on a Dark Fleet/Nachwaffen (German breakaway civilization) spacecraft called the ""Max Von Laue"" and lived on Mars and Ceres. Once the ""20 and back"" program had ended he was then returned back into his original child body without any of his memories. He regained his memories completely in 2015 after an MRI.', 'John Krasinski is not human. It is a fact weve ignored for far too long, dismissing it as idle speculation or conspiracy theory, but the evidence is undeniable, and it starts with his eyesthose soulless, hollow abysses masquerading as human features. Look closely, truly closely, and tell me you dont feel it: that icy, unrelenting void pulling you in, not with warmth or humanity, but with something far colder, far darker, something alien in its essence. His eyes dont blink with the normal cadence of a person navigating the world; they blink like a calculated machine executing a pre-programmed rhythm. They dont express joy, sadness, or angerno, they mimic those emotions, performing an eerie simulacrum of human affect, just enough to pass as one of us. But the longer you stare into those lifeless pits, the more the faade cracks, the more you feel the uncanny terror of being studied by something that isnt human but wears humanity like a poorly stitched costume. Look closer, deeper. Notice the lack of life, the static sheen of his gaze. It doesnt shift with the subtle vibrancy of emotionits a mask, a perfect mask, but a mask nonetheless. His pupils dont contract or expand the way they should. Theres no depth, no humanity behind them. Theyre like two black holes, swallowing light, swallowing warmth, swallowing trust. Watch him in interviews. Hes too smooth, too polished, his smiles mechanically timed, his laughs just slightly out of sync with the rhythm of human interaction. And yet, we let him rise, allowed him to worm his way into our collective consciousness, to stare at us from every billboard, every screen, every late-night talk show, as though his hollow eyes arent screaming the truth every second: I am not one of you. John Krasinski is not human.']","9, alien, hes, aliens, human",128
