Topic_Num,X,fediverse,bluesky,truthsocial,4chan,gettr,gab
Topic 0,"[0, moon, landing, moon landing, fake], n=707",null,"[0, moon, landing, moon landing, fake], n=224","[0, moon, landing, moon landing, fake], n=548","[0, moon, landing, moon landing, fake], n=311","[0, moon, landing, moon landing, earth], n=76","[0, moon, landing, moon landing, fake], n=333"
Topic 1,"[1, stanley, kubrick, stanley kubrick, moon landing], n=35",null,"[1, moon landing, moon, landing, flat], n=69","[1, nasalies, rt, notaspaceagency, nasalies rt], n=138","[1, moon, landing, moon landing, fake], n=151","[1, lied, trump, 2025, march], n=31","[1, amp, lied, father, jew], n=140"
Topic 2,null,null,null,"[2, truth, trump, trust, just], n=62","[2, shit, fake, fake moon, science], n=64",null,"[2, earth, flat, flat earth, earth flat], n=68"
Topic 3,null,null,null,"[3, earth, sun, firmament, moon], n=48","[3, jews, people, world, moon], n=37",null,"[3, space, spaceisfake, fake, mars], n=63"
Topic 4,null,null,null,"[4, nasa, nasa lies, recording, shot], n=35","[4, earth, flat, flat earth, moon], n=32",null,"[4, moon, nasa, nasa says moon, nasa says], n=35"
Topic 5,null,null,null,"[5, sun, time, remove, sun moon], n=23","[5, moon, didnt moon, discuss, moon lie], n=24",null,null
Topic 6,null,null,null,"[6, went, went moon, moon rt, went moon rt], n=21",null,null,null
Topic 7,null,null,null,null,null,null,null
Topic 8,null,null,null,null,null,null,null
Topic 9,null,null,null,null,null,null,null
